Time,Volume
Jan-12,411067
Feb-12,361925
Mar-12,375083
Apr-12,349779
May-12,321930
Jun-12,323725
Jul-12,376948
Aug-12,337894
Sep-12,291637
Oct-12,328300
Nov-12,352438
Dec-12,442088
Jan-13,436079
Feb-13,418108
Mar-13,417392
Apr-13,377879
May-13,362062
Jun-13,369073
Jul-13,418288
Aug-13,382022
Sep-13,328114
Oct-13,358369
Nov-13,361271
Dec-13,452650
Jan-14,461383
Feb-14,422631
Mar-14,425858
Apr-14,386665
May-14,364598
Jun-14,372293
Jul-14,428144
Aug-14,405970
Sep-14,328981
Oct-14,358876
Nov-14,390315
Dec-14,487654
Jan-15,479149
Feb-15,456524
Mar-15,456163
Apr-15,423366
May-15,413937
Jun-15,390486
Jul-15,489724
Aug-15,480689
Sep-15,393589
Oct-15,412185
Nov-15,411868
Dec-15,553002
Jan-16,542258
Feb-16,549725
Mar-16,510270
Apr-16,471598
May-16,445449
Jun-16,459138
Jul-16,560872
Aug-16,502739
Sep-16,422943
Oct-16,443025
Nov-16,482350
Dec-16,576638
Jan-17,631639
Feb-17,579178
Mar-17,574065
Apr-17,565098
May-17,532757
Jun-17,474854
Jul-17,568035
Aug-17,545254
Sep-17,479803
Oct-17,523627
Nov-17,533226
Dec-17,613372
Jan-18,732506
Feb-18,674841
Mar-18,642757
Apr-18,591137
May-18,537743
Jun-18,530267
Jul-18,609078
Aug-18,551088
Sep-18,518041
Oct-18,523703
Nov-18,564169
Dec-18,693137
Jan-19,723390
Feb-19,762437
Mar-19,709399
Apr-19,653336
May-19,612861
Jun-19,638440
Jul-19,712285
Aug-19,699933
Sep-19,604552
Oct-19,634786
Nov-19,679273
Dec-19,763057
